Swimmer,F1200Y,F150Y,F1100Y,F4100Y,F2100Y,F2200Y,F1500Y,F5200Y,F3100Y,F4200Y,F3200Y,F11650Y,FLM50A,F2M50A,F3M50A,F4M50A,FLM50B,F2M50B,F3M50B,F4M50B,FLM50C,F2M50C,F3M50C,F4M50C,FLM50D,F2M50D,F3M50D,F4M50D,FLF50A,F1F50A,FLF50B,F1F50B,FLF50C,F1F50C,FLF50D,F1F50D,,,
270043,,,,55.75,55.1,119.17,,127.38,,,,,25.38,,,25.16,25.38,,,25.16,25.38,,,25.16,25.38,,,25.16,,25.16,,25.16,,25.16,,25.16,,,
329465,109.41,23.9,51.67,58.57,,,289.16,,,125.72,,1004.99,,,,24.11,,,,24.11,,,,24.11,,,,24.11,23.9,24.11,23.9,24.11,23.9,24.11,23.9,24.11,,,
330237,114.87,24.98,53.95,,,,306.46,,,397.26,,1039.34,,,,23.91,,,,23.91,,,,23.91,,,,23.91,25.81,23.91,25.81,23.91,25.81,23.91,25.81,23.91,,,
330324,114.37,,58.26,,,,302.03,135.1,,,,1035.66,,,,25.84,,,,25.84,,,,25.84,,,,25.84,,25.84,,25.84,,25.84,,25.84,,,
342607,118.68,24.41,53.06,57.76,,,,,,130.2,,,,,26,24.23,,,26,24.23,,,26,24.23,,,26,24.23,25.63,24.23,25.63,24.23,25.63,24.23,25.63,24.23,,,
342611,,23.92,54.72,,57.46,127.67,,,,,,,28.35,,,23.78,28.35,,,23.78,28.35,,,23.78,28.35,,,23.78,,23.78,,23.78,,23.78,,23.78,,,
344005,116.62,26.49,54.09,59.4,,,304.51,,,132.42,,,,32.26,28.33,25.13,,32.26,28.33,25.13,,32.26,28.33,25.13,,32.26,28.33,25.13,26.49,25.13,26.49,25.13,26.49,25.13,26.49,25.13,,,
347298,118.59,,55.93,,61.12,127.09,314.71,,,,,,29.63,,,24.79,29.63,,,24.79,29.63,,,24.79,29.63,,,24.79,,24.79,,24.79,,24.79,,24.79,,,
356813,113.85,26.36,,,,,299.44,129.32,,123.89,,,,31.25,,,,31.25,,,,31.25,,,,31.25,,,,,,,,,,,,,
382148,,24.51,53.91,60.36,55.83,127.4,,,,,,,26.58,,,25.2,26.58,,,25.2,26.58,,,25.2,26.58,,,25.2,24.51,25.2,24.51,25.2,24.51,25.2,24.51,25.2,,,
395502,119.8,24.6,55.24,55.65,,,,132.75,,124.4,,,,,25.28,24.64,,,25.28,24.64,,,25.28,24.64,,,25.28,24.64,,24.64,,24.64,,24.64,,24.64,,,
402879,122.06,26.9,57.05,65.88,,,310.44,141.87,,130.63,,,,,,26.64,,,,26.64,,,,26.64,,,,26.64,,26.64,,26.64,,26.64,,26.64,,,
403012,,25.43,53.39,57.31,58.94,,,127.14,,124.37,,,27.55,,25.58,24.88,27.55,,25.58,24.88,27.55,,25.58,24.88,27.55,,25.58,24.88,25.43,24.88,25.43,24.88,25.43,24.88,25.43,24.88,,,
409578,,,,,,,,,68.42,,154.34,,,31.5,,,,31.5,,,,31.5,,,,31.5,,,,,,,,,,,,,
586800,,,,,61.23,130.03,,132.06,72.94,,157.78,,,33.91,,26.14,,33.91,,26.14,,33.91,,26.14,,33.91,,26.14,,26.14,,26.14,,26.14,,26.14,,,
Record,99.1,20.84,45.56,48.89,48.74,107.24,264.06,110.08,55.73,109.51,122.19,903.31,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swimmer,F1200Y,F150Y,F1100Y,F4100Y,F2100Y,F2200Y,F1500Y,F5200Y,F3100Y,F4200Y,F3200Y,F11650Y,FLM50A,F2M50A,F3M50A,F4M50A,FLM50B,F2M50B,F3M50B,F4M50B,FLM50C,F2M50C,F3M50C,F4M50C,FLM50D,F2M50D,F3M50D,F4M50D,FLF50A,F1F50A,FLF50B,F1F50B,FLF50C,F1F50C,FLF50D,F1F50D,,,
167013,,20.25,20.46,,,,,,,,,,,,,24.92,,,,24.92,,,,24.92,,,,24.92,,24.92,,24.92,,24.92,,24.92,,,
214963,,,,,,22.92,,23.66,18.02,,17.19,,,30.62,,24.82,,30.62,,24.82,,30.62,,24.82,,30.62,,24.82,,24.82,,24.82,,24.82,,24.82,,,
221480,27.03,16.65,16.66,20.25,,,,,,,,,,,25.41,24.05,,,25.41,24.05,,,25.41,24.05,,,25.41,24.05,24.43,24.05,24.43,24.05,24.43,24.05,24.43,24.05,,,
228451,18.00,,17.32,17.77,12.35,9.20,,11.07,25.01,,,,26.68,,,23.25,26.68,,,23.25,26.68,,,23.25,26.68,,,23.25,,23.25,,23.25,,23.25,,23.25,,,
233487,13.58,19.05,14.95,12.66,29.36,,,13.13,22.59,13.62,23.32,,,31.72,24.37,23.66,,31.72,24.37,23.66,,31.72,24.37,23.66,,31.72,24.37,23.66,,23.66,,23.66,,23.66,,23.66,,,
233650,15.57,16.12,16.53,,,,,,,,,,,,,24.15,,,,24.15,,,,24.15,,,,24.15,24.43,24.15,24.43,24.15,24.43,24.15,24.43,24.15,,,
235482,9.82,12.86,10.65,20.56,,,,,,,,,,,28.47,23.17,,,28.47,23.17,,,28.47,23.17,,,28.47,23.17,24.73,23.17,24.73,23.17,24.73,23.17,24.73,23.17,,,
255871,16.04,,,,18.18,,14.30,12.05,18.48,,12.41,,,29.33,,,,29.33,,,,29.33,,,,29.33,,,,,,,,,,,,,
256775,,,,,,,,20.54,22.77,,19.72,,,32.08,,,,32.08,,,,32.08,,,,32.08,,,,,,,,,,,,,
260001,15.75,,24.85,,,,12.22,19.15,21.87,,,12.74,,,,,,,,,,,,,,,,,,,,,,,,,,,
265562,15.36,17.71,15.65,,19.37,12.81,,15.01,,,,,28.1,,27.14,23.28,28.1,,27.14,23.28,28.1,,27.14,23.28,28.1,,27.14,23.28,24.53,23.28,24.53,23.28,24.53,23.28,24.53,23.28,,,
270043,,,,14.03,13.05,11.12,,15.72,,,,,25.38,,,25.16,25.38,,,25.16,25.38,,,25.16,25.38,,,25.16,,25.16,,25.16,,25.16,,25.16,,,
329465,10.40,14.68,13.41,19.80,,,9.51,,,14.80,,11.26,,,,24.11,,,,24.11,,,,24.11,,,,24.11,23.9,24.11,23.9,24.11,23.9,24.11,23.9,24.11,,,
330237,15.91,19.87,18.42,,,,16.06,,,262.76,,15.06,,,,23.91,,,,23.91,,,,23.91,,,,23.91,25.81,23.91,25.81,23.91,25.81,23.91,25.81,23.91,,,
330324,15.41,,27.88,,,,14.38,22.73,,,,14.65,,,,25.84,,,,25.84,,,,25.84,,,,25.84,,25.84,,25.84,,25.84,,25.84,,,
342607,19.76,17.13,16.46,18.14,,,,,,18.89,,,,,26,24.23,,,26,24.23,,,26,24.23,,,26,24.23,25.63,24.23,25.63,24.23,25.63,24.23,25.63,24.23,,,
342611,,14.78,20.11,,17.89,19.05,,,,,,,28.35,,,23.78,28.35,,,23.78,28.35,,,23.78,28.35,,,23.78,,23.78,,23.78,,23.78,,23.78,,,
344005,17.68,27.11,18.72,21.50,,,15.32,,,20.92,,,,32.26,28.33,25.13,,32.26,28.33,25.13,,32.26,28.33,25.13,,32.26,28.33,25.13,26.49,25.13,26.49,25.13,26.49,25.13,26.49,25.13,,,
347298,19.67,,22.76,,25.40,18.51,19.18,,,,,,29.63,,,24.79,29.63,,,24.79,29.63,,,24.79,29.63,,,24.79,,24.79,,24.79,,24.79,,24.79,,,
356813,14.88,26.49,,,,,13.40,17.48,,13.13,,,,31.25,,,,31.25,,,,31.25,,,,31.25,,,,,,,,,,,,,
382148,,17.61,18.33,23.46,14.55,18.80,,,,,,,26.58,,,25.2,26.58,,,25.2,26.58,,,25.2,26.58,,,25.2,24.51,25.2,24.51,25.2,24.51,25.2,24.51,25.2,,,
395502,20.89,18.04,21.25,13.83,,,,20.59,,13.60,,,,,25.28,24.64,,,25.28,24.64,,,25.28,24.64,,,25.28,24.64,,24.64,,24.64,,24.64,,24.64,,,
402879,23.17,29.08,25.22,34.75,,,17.56,28.88,,19.29,,,,,,26.64,,,,26.64,,,,26.64,,,,26.64,,26.64,,26.64,,26.64,,26.64,,,
403012,,22.02,17.19,17.22,20.93,,,15.50,,13.57,,,27.55,,25.58,24.88,27.55,,25.58,24.88,27.55,,25.58,24.88,27.55,,25.58,24.88,25.43,24.88,25.43,24.88,25.43,24.88,25.43,24.88,,,
409578,,,,,,,,,22.77,,26.31,,,31.5,,,,31.5,,,,31.5,,,,31.5,,,,,,,,,,,,,
586800,,,,,25.63,21.25,,19.97,30.88,,29.13,,,33.91,,26.14,,33.91,,26.14,,33.91,,26.14,,33.91,,26.14,,26.14,,26.14,,26.14,,26.14,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swimmer,F1200Y,F150Y,F1100Y,F4100Y,F2100Y,F2200Y,F1500Y,F5200Y,F3100Y,F4200Y,F3200Y,F11650Y,FLM50A,F2M50A,F3M50A,F4M50A,FLM50B,F2M50B,F3M50B,F4M50B,FLM50C,F2M50C,F3M50C,F4M50C,FLM50D,F2M50D,F3M50D,F4M50D,FLF50A,F1F50A,FLF50B,F1F50B,FLF50C,F1F50C,FLF50D,F1F50D,,,
167013,,92,94,,,,,,,,,,,,,15,,,,24.92,,,,24.92,,,,24.92,,24.92,,24.92,,24.92,,24.92,,,
214963,,,,,,111,,115,68,,57,,,2,,13,,30.62,,24.82,,30.62,,24.82,,30.62,,24.82,,24.82,,24.82,,24.82,,24.82,,,
221480,123,53,54,93,,,,,,,,,,,3,7,,,25.41,24.05,,,25.41,24.05,,,25.41,24.05,24.43,24.05,24.43,24.05,24.43,24.05,24.43,24.05,,,
228451,67,,59,65,11,1,,6,117,,,,3,,,2,26.68,,,23.25,26.68,,,23.25,26.68,,,23.25,,23.25,,23.25,,23.25,,23.25,,,
233487,23,79,36,13,129,,,18,106,25,113,,,5,1,4,,31.72,24.37,23.66,,31.72,24.37,23.66,,31.72,24.37,23.66,,23.66,,23.66,,23.66,,23.66,,,
233650,43,50,52,,,,,,,,,,,,,9,,,,24.15,,,,24.15,,,,24.15,24.43,24.15,24.43,24.15,24.43,24.15,24.43,24.15,,,
235482,3,16,5,96,,,,,,,,,,,8,1,,,28.47,23.17,,,28.47,23.17,,,28.47,23.17,24.73,23.17,24.73,23.17,24.73,23.17,24.73,23.17,,,
255871,48,,,,71,,28,9,74,,12,,,1,,,,29.33,,,,29.33,,,,29.33,,,,,,,,,,,,,
256775,,,,,,,,95,109,,86,,,6,,,,32.08,,,,32.08,,,,32.08,,,,,,,,,,,,,
260001,46,,116,,,,10,81,104,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
265562,40,64,44,,84,15,,37,,,,,5,,6,3,28.1,,27.14,23.28,28.1,,27.14,23.28,28.1,,27.14,23.28,24.53,23.28,24.53,23.28,24.53,23.28,24.53,23.28,,,
270043,,,,27,17,7,,45,,,,,1,,,17,25.38,,,25.16,25.38,,,25.16,25.38,,,25.16,,25.16,,25.16,,25.16,,25.16,,,
329465,4,32,21,88,,,2,,,34,,8,,,,8,,,,24.11,,,,24.11,,,,24.11,23.9,24.11,23.9,24.11,23.9,24.11,23.9,24.11,,,
330237,47,89,73,,,,49,,,132,,38,,,,6,,,,23.91,,,,23.91,,,,23.91,25.81,23.91,25.81,23.91,25.81,23.91,25.81,23.91,,,
330324,41,,125,,,,29,107,,,,31,,,,19,,,,25.84,,,,25.84,,,,25.84,,25.84,,25.84,,25.84,,25.84,,,
342607,87,55,51,70,,,,,,78,,,,,5,10,,,26,24.23,,,26,24.23,,,26,24.23,25.63,24.23,25.63,24.23,25.63,24.23,25.63,24.23,,,
342611,,33,91,,66,80,,,,,,,6,,,5,28.35,,,23.78,28.35,,,23.78,28.35,,,23.78,,23.78,,23.78,,23.78,,23.78,,,
344005,63,124,76,103,,,39,,,99,,,,7,7,16,,32.26,28.33,25.13,,32.26,28.33,25.13,,32.26,28.33,25.13,26.49,25.13,26.49,25.13,26.49,25.13,26.49,25.13,,,
347298,85,,108,,119,75,82,,,,,,7,,,12,29.63,,,24.79,29.63,,,24.79,29.63,,,24.79,,24.79,,24.79,,24.79,,24.79,,,
356813,35,122,,,,,20,60,,19,,,,3,,,,31.25,,,,31.25,,,,31.25,,,,,,,,,,,,,
382148,,62,72,114,30,77,,,,,,,2,,,18,26.58,,,25.2,26.58,,,25.2,26.58,,,25.2,24.51,25.2,24.51,25.2,24.51,25.2,24.51,25.2,,,
395502,98,69,101,26,,,,97,,24,,,,,2,11,,,25.28,24.64,,,25.28,24.64,,,25.28,24.64,,24.64,,24.64,,24.64,,24.64,,,
402879,112,127,118,131,,,61,126,,83,,,,,,21,,,,26.64,,,,26.64,,,,26.64,,26.64,,26.64,,26.64,,26.64,,,
403012,,105,56,58,100,,,42,,22,,,4,,4,14,27.55,,25.58,24.88,27.55,,25.58,24.88,27.55,,25.58,24.88,25.43,24.88,25.43,24.88,25.43,24.88,25.43,24.88,,,
409578,,,,,,,,,109,,121,,,4,,,,31.5,,,,31.5,,,,31.5,,,,,,,,,,,,,
586800,,,,,120,102,,90,130,,128,,,8,,20,,33.91,,26.14,,33.91,,26.14,,33.91,,26.14,,26.14,,26.14,,26.14,,26.14,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Swimmer,Event,Rank,,Swimmer,F1200Y,F150Y,F1100Y,F4100Y,F2100Y,F2200Y,F1500Y,F5200Y,F3100Y,F4200Y,F3200Y,F11650Y,,,FLM50A,F2M50A,F3M50A,F4M50A,FLF50A,F1F50A
,,,,,,,,,,,,,,,228451,F2200Y,1,x,167013,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,329465,F1500Y,2,x,214963,,,,,,,,,1,,1,,2,,,,,,,
,,,,,,,,,,,,,,,235482,F1200Y,3,x,221480,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,329465,F1200Y,4,x,228451,,,,,1,1,,1,,,,,3,,,,,,,
,,,,,,,,,,,,,,,235482,F1100Y,5,x,233487,1,,1,1,,,,1,,,,,4,,,,,,,
,,,,,,,,,,,,,,,228451,F5200Y,6,lim,233650,,1,,,,,,,,,,,1,,,,,,,
,,,,,,,,,,,,,,,270043,F2200Y,7,x,235482,1,1,1,,,,,,,,,,3,,,,,,,
,,,,,,,,,,,,,,,329465,F11650Y,8,x,255871,,,,,,,,1,1,,1,,3,,,,,,,
,,,,,,,,,,,,,,,255871,F5200Y,9,x,256775,,,,,,,,,,,1,,1,,,,,,,
,,,,,,,,,,,,,,,260001,F1500Y,10,x,260001,,,,,,,1,,1,,,1,3,,,,,,,
,,,,,,,,,,,,,,,228451,F2100Y,11,lim,265562,,,1,,,1,,,,,,,2,,,,,,,
,,,,,,,,,,,,,,,255871,F3200Y,12,x,270043,,,,1,1,1,,,,,,,3,,,,,,,
,,,,,,,,,,,,,,,233487,F4100Y,13,x,329465,1,,,,,,1,,,,,1,3,,,,,,,
,,,,,,,,,,,,,,,260001,F11650Y,14,x,330237,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,265562,F2200Y,15,x,330324,,,,,,,,,,,,1,1,,,,,,,
,,,,,,,,,,,,,,,235482,F150Y,16,x,342607,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,270043,F2100Y,17,x,342611,,1,,,,,,,,,,,1,,,,,,,
,,,,,,,,,,,,,,,233487,F5200Y,18,x,344005,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,356813,F4200Y,19,x,347298,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,356813,F1500Y,20,x,356813,,,,,,,1,,,1,,,2,,,,,,,
,,,,,,,,,,,,,,,329465,F1100Y,21,lim,382148,,,,,1,,,,,,,,1,,,,,,,
,,,,,,,,,,,,,,,403012,F4200Y,22,x,395502,,,,1,,,,,,1,,,2,,,,,,,
,,,,,,,,,,,,,,,233487,F1200Y,23,x,402879,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,395502,F4200Y,24,x,403012,,,,,,,,,,1,,,1,,,,,,,
,,,,,,,,,,,,,,,233487,F4200Y,25,event,409578,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,395502,F4100Y,26,x,586800,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,270043,F4100Y,27,x,,3,3,3,3,3,3,3,3,3,3,3,3,36,,,,,,,
,,,,,,,,,,,,,,,255871,F1500Y,28,event,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,330324,F1500Y,29,event,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,382148,F2100Y,30,x,,945,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,330324,F11650Y,31,x,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,329465,F150Y,32,lim,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,342611,F150Y,33,x,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,329465,F4200Y,34,lim,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,356813,F1200Y,35,event,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,233487,F1100Y,36,lim,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,265562,F5200Y,37,event,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,330237,F11650Y,38,event,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,344005,F1500Y,39,event,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,265562,F1200Y,40,event,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,330324,F1200Y,41,event,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,403012,F5200Y,42,event,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,233650,F1200Y,43,event,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,265562,F1100Y,44,x,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,270043,F5200Y,45,event,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,260001,F1200Y,46,event,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,330237,F1200Y,47,event,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,255871,F1200Y,48,event,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,330237,F1500Y,49,event,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,233650,F150Y,50,x,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,342607,F1100Y,51,event,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,233650,F1100Y,52,event,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,221480,F150Y,53,event,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,221480,F1100Y,54,event,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,342607,F150Y,55,event,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,403012,F1100Y,56,event,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,214963,F3200Y,57,x,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,403012,F4100Y,58,event,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,228451,F1100Y,59,event,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,356813,F5200Y,60,event,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,402879,F1500Y,61,event,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,382148,F150Y,62,event,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,344005,F1200Y,63,event,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,265562,F150Y,64,event,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,228451,F4100Y,65,event,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,342611,F2100Y,66,event,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,228451,F1200Y,67,event,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,214963,F3100Y,68,x,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,395502,F150Y,69,event,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,342607,F4100Y,70,event,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,255871,F2100Y,71,event,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,382148,F1100Y,72,event,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,330237,F1100Y,73,event,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,255871,F3100Y,74,x,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,347298,F2200Y,75,event,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,344005,F1100Y,76,event,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,382148,F2200Y,77,event,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,342607,F4200Y,78,event,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,233487,F150Y,79,event,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,342611,F2200Y,80,event,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,260001,F5200Y,81,event,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,347298,F1500Y,82,event,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,402879,F4200Y,83,event,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,265562,F2100Y,84,event,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,347298,F1200Y,85,event,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,256775,F3200Y,86,x,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,342607,F1200Y,87,event,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,329465,F4100Y,88,event,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,330237,F150Y,89,event,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,586800,F5200Y,90,event,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,342611,F1100Y,91,event,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,167013,F150Y,92,event,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,221480,F4100Y,93,event,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,167013,F1100Y,94,event,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,256775,F5200Y,95,event,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,235482,F4100Y,96,event,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,395502,F5200Y,97,event,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,395502,F1200Y,98,event,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,344005,F4200Y,99,event,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,403012,F2100Y,100,event,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,395502,F1100Y,101,event,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,586800,F2200Y,102,event,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,344005,F4100Y,103,event,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,260001,F3100Y,104,x,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,403012,F150Y,105,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,233487,F3100Y,106,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,330324,F5200Y,107,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,347298,F1100Y,108,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,256775,F3100Y,109,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,409578,F3100Y,109,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,214963,F2200Y,111,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,402879,F1200Y,112,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,233487,F3200Y,113,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,382148,F4100Y,114,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,214963,F5200Y,115,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,260001,F1100Y,116,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,228451,F3100Y,117,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,402879,F1100Y,118,,,,,,,,,,,,,,,,,,,,,,
