swimmer,team,time,scaled,meet_id,event,date,taper,snapshot
265562,184,122.81,-0.978891464302176,136124,F2200Y,1542499200,1,2196655255
265562,184,126.53,-0.17761311156633225,119953,F2200Y,1547164800,2,2196655255
265562,184,125.81,-0.33269924435391474,119954,F2200Y,1547251200,2,2196655255
265562,184,127.08,-0.059144537909151605,119957,F2200Y,1548460800,2,2196655255
265562,184,121.51,-1.258908092946422,142919,F2200Y,1550880000,1,2196655255
265562,184,120.98,-1.373068718470615,142919,F2200Y,1550880000,1,2196655255
265562,184,130.27,-0.2124120338142884,136124,F5200Y,1542326400,1,2196655255
265562,184,126.6,-1.0598390679828391,142919,F5200Y,1550707200,1,2196655255
228451,184,116.94,0.23384064379208744,141362,F1200Y,1549065600,2,2196655255
228451,184,57.68,-0.4166941441481106,132028,F2100Y,1539388800,2,2196655255
228451,184,57.51,-0.4896089176485251,119950,F2100Y,1539993600,2,2196655255
228451,184,57.56,-0.4681633960307546,119951,F2100Y,1541203200,2,2196655255
228451,184,55.46,-1.3688753039770438,136124,F2100Y,1542326400,1,2196655255
228451,184,55.85,-1.201600235358447,136124,F2100Y,1542412800,1,2196655255
228451,184,55.64,-1.2916714261530764,136124,F2100Y,1542412800,1,2196655255
228451,184,57.74,-0.3909595182067871,138360,F2100Y,1545264000,2,2196655255
228451,184,56.88,-0.7598224900324098,119953,F2100Y,1547164800,2,2196655255
228451,184,56.16,-1.0686380013282828,119954,F2100Y,1547251200,2,2196655255
228451,184,56.01,-1.1329745661815884,119957,F2100Y,1548460800,2,2196655255
228451,184,54.78,-1.660534397978699,142919,F2100Y,1550707200,1,2196655255
228451,184,55.26,-1.45465739044812,142919,F2100Y,1550793600,1,2196655255
228451,184,54.76,-1.6691126066258075,142919,F2100Y,1550793600,1,2196655255
228451,184,69.67,0.307156887736508,141362,F3100Y,1549065600,2,2196655255
228451,184,70.18,0.5589943238635301,143422,F3100Y,1551484800,1,2196655255
228451,184,54.27,0.27386527601214244,141362,F1100Y,1549065600,2,2196655255
228451,184,53.45,-0.15809868271973684,143422,F1100Y,1551571200,1,2196655255
228451,184,54.56,0.42663301751487975,143422,F1100Y,1551571200,1,2196655255
228451,184,124.45,-0.6256397173971264,119948,F2200Y,1538179200,2,2196655255
228451,184,123.15,-0.9056563460413724,132028,F2200Y,1539388800,2,2196655255
228451,184,122.45,-1.0564345306959673,119950,F2200Y,1539993600,2,2196655255
228451,184,124.06,-0.7096447059904005,119951,F2200Y,1541203200,2,2196655255
228451,184,119.3,-1.7349363616416429,136124,F2200Y,1542499200,1,2196655255
228451,184,118.58,-1.8900224944292257,136124,F2200Y,1542499200,1,2196655255
